loan_purpose,loan_amount,debt_to_income_ratio,property_value,income,occupancy_type,derived_race,derived_sex,applicant_age,loan_to_value_ratio,action_taken
1,705000.0,41,1505000.0,243.0,1,Hispanic or Latino,Male,35-44,46.67,Loan originated
1,805000.0,46,1075000.0,282.0,1,White,Female,25-34,75.0,Loan originated
1,265000.0,39,285000.0,64.0,1,Hispanic or Latino,Joint,35-44,95.0,Loan originated
1,225000.0,40,455000.0,110.0,1,Hispanic or Latino,Joint,25-34,50.0,Loan originated
1,445000.0,20%-<30%,555000.0,181.0,1,White,Joint,35-44,80.0,Loan originated
1,405000.0,30%-<36%,545000.0,137.0,1,White,Joint,25-34,75.0,Loan originated
1,605000.0,49,755000.0,117.0,1,White,Joint,25-34,80.0,Loan originated
1,205000.0,46,385000.0,76.0,1,Asian,Female,35-44,53.51,Application denied
1,725000.0,30%-<36%,1045000.0,447.0,1,White,Male,55-64,70.0,Loan originated
1,395000.0,46,495000.0,117.0,1,White,Female,35-44,80.0,Loan originated
1,615000.0,41,655000.0,178.0,1,Hispanic or Latino,Joint,35-44,100.85,Loan originated
1,255000.0,40,265000.0,224.0,1,White,Male,35-44,95.0,Loan originated
1,405000.0,30%-<36%,445000.0,120.0,1,White,Male,25-34,90.0,Loan originated
1,565000.0,30%-<36%,705000.0,160.0,1,Asian,Female,35-44,80.0,Loan originated
1,385000.0,30%-<36%,475000.0,129.0,1,White,Joint,65-74,80.0,Loan originated
1,415000.0,30%-<36%,525000.0,183.0,1,White,Joint,25-34,80.0,Loan originated
1,495000.0,44,555000.0,144.0,1,White,Male,25-34,90.0,Loan originated
1,585000.0,44,835000.0,166.0,1,White,Joint,35-44,70.0,Loan originated
1,435000.0,30%-<36%,835000.0,291.0,1,Hispanic or Latino,Male,45-54,52.1,Loan originated
1,755000.0,49,925000.0,145.0,1,Asian,Joint,35-44,97.83,Loan originated
1,775000.0,36,825000.0,240.0,1,Hispanic or Latino,Joint,25-34,95.0,Loan originated
1,215000.0,37,365000.0,65.0,1,White,Female,35-44,59.35,Loan originated
1,405000.0,30%-<36%,425000.0,142.0,1,Hispanic or Latino,Joint,35-44,95.0,Loan originated
1,695000.0,43,1995000.0,338.0,1,White,Joint,25-34,34.84,Loan originated
1,405000.0,49,1045000.0,100.0,1,White,Joint,35-44,38.94,Loan originated
1,355000.0,38,505000.0,208.0,1,White,Female,65-74,70.0,Loan originated
1,675000.0,48,805000.0,163.0,1,Asian,Joint,45-54,102.88,Loan originated
1,185000.0,41,225000.0,65.0,1,White,Female,65-74,80.0,Loan originated
1,515000.0,43,585000.0,120.0,1,Hispanic or Latino,Male,25-34,91.03,Loan originated
1,765000.0,47,4025000.0,336.0,1,Black or African American,Male,35-44,19.03,Loan originated
1,735000.0,<20%,975000.0,1732.0,1,White,Female,45-54,75.0,Loan originated
1,375000.0,47,615000.0,118.0,1,White,Male,35-44,59.68,Loan originated
1,945000.0,37,1355000.0,253.0,1,White,Male,25-34,70.0,Loan originated
1,25000.0,46,85000.0,15.0,1,White,Male,45-54,30.0,Loan originated
1,845000.0,49,1055000.0,191.0,1,White,Male,25-34,80.0,Loan originated
1,275000.0,47,285000.0,70.0,1,Asian,Male,<25,100.0,Loan originated
1,355000.0,49,1375000.0,125.0,1,Asian,Female,>74,25.43,Loan originated
1,345000.0,48,495000.0,111.0,1,White,Female,25-34,85.0,Loan originated
1,365000.0,39,455000.0,103.0,1,Hispanic or Latino,Male,65-74,80.0,Loan originated
1,345000.0,20%-<30%,435000.0,194.0,1,White,Female,>74,80.0,Loan originated
1,495000.0,49,625000.0,120.0,1,Hispanic or Latino,Male,35-44,80.0,Loan originated
1,305000.0,50%-60%,405000.0,90.0,1,Hispanic or Latino,Joint,65-74,99.44,Loan originated
1,955000.0,49,1305000.0,204.0,1,Asian,Male,25-34,73.08,Loan originated
1,435000.0,48,545000.0,84.0,1,Hispanic or Latino,Joint,25-34,80.0,Loan originated
1,455000.0,40,905000.0,131.0,1,Hispanic or Latino,Male,35-44,50.0,Loan originated
1,205000.0,20%-<30%,355000.0,114.0,1,White,Female,65-74,58.22,Loan originated
1,915000.0,45,965000.0,374.0,1,White,Joint,35-44,95.0,Loan originated
1,545000.0,30%-<36%,625000.0,140.0,1,White,Joint,25-34,87.24,Loan originated
1,675000.0,48,755000.0,163.0,1,White,Joint,35-44,90.0,Loan originated
1,415000.0,48,525000.0,83.0,1,White,Male,45-54,80.0,Loan originated
1,545000.0,48,575000.0,136.0,1,White,Male,55-64,95.0,Loan originated
1,385000.0,46,535000.0,94.0,1,White,Joint,25-34,72.08,Loan originated
1,355000.0,45,465000.0,87.0,1,White,Male,55-64,76.77,Loan originated
1,755000.0,47,1085000.0,228.0,1,White,Joint,25-34,69.44,Loan originated
1,565000.0,42,785000.0,153.0,1,White,Joint,35-44,71.48,Loan originated
1,475000.0,49,505000.0,101.0,1,White,Male,25-34,95.0,Loan originated
1,805000.0,47,1155000.0,281.0,1,White,Joint,65-74,69.57,Loan originated
1,465000.0,41,485000.0,116.0,1,White,Female,35-44,97.0,Loan originated
1,1045000.0,47,1305000.0,234.0,1,White,Joint,35-44,80.0,Loan originated
1,455000.0,49,485000.0,86.0,1,Hispanic or Latino,Joint,35-44,98.0,Loan originated
1,745000.0,30%-<36%,925000.0,204.0,1,White,Joint,55-64,80.0,Loan originated
1,445000.0,30%-<36%,555000.0,139.0,1,Hispanic or Latino,Joint,45-54,100.0,Loan originated
1,1005000.0,37,1355000.0,279.0,1,Asian,Joint,25-34,73.54,Loan originated
1,585000.0,37,605000.0,147.0,1,White,Joint,35-44,97.0,Loan originated
1,515000.0,48,685000.0,110.0,1,White,Male,25-34,75.0,Loan originated
1,775000.0,30%-<36%,865000.0,230.0,1,White,Joint,35-44,90.0,Loan originated
1,625000.0,47,785000.0,215.0,1,White,Joint,<25,80.0,Loan originated
1,575000.0,46,725000.0,281.0,1,White,Joint,35-44,80.0,Loan originated
1,625000.0,47,695000.0,142.0,1,White,Female,35-44,89.99,Loan originated
1,605000.0,42,975000.0,350.0,1,Asian,Female,55-64,61.85,Loan originated
1,1145000.0,49,2005000.0,274.0,1,Asian,Joint,55-64,57.45,Loan originated
1,955000.0,49,1005000.0,189.0,1,Asian,Joint,25-34,95.0,Loan originated
1,475000.0,46,755000.0,127.0,1,Asian,Male,35-44,62.25,Loan originated
1,605000.0,47,1505000.0,183.0,1,White,Male,35-44,40.0,Loan originated
1,655000.0,30%-<36%,1425000.0,223.0,1,White,Joint,55-64,46.27,Loan originated
1,305000.0,42,1875000.0,128.0,1,White,Joint,65-74,16.0,Loan originated
1,735000.0,41,815000.0,252.0,1,White,Joint,25-34,89.94,Loan originated
1,275000.0,46,345000.0,62.0,1,Hispanic or Latino,Male,55-64,80.0,Loan originated
1,575000.0,40,605000.0,182.0,1,White,Male,35-44,95.0,Loan originated
1,755000.0,39,1005000.0,300.0,1,White,Joint,65-74,75.0,Loan originated
1,695000.0,20%-<30%,865000.0,245.0,1,White,Female,35-44,80.0,Loan originated
1,925000.0,36,1155000.0,271.0,1,White,Male,35-44,80.0,Loan originated
1,535000.0,37,565000.0,281.0,1,White,Joint,25-34,95.0,Loan originated
1,465000.0,46,665000.0,97.0,1,White,Female,65-74,69.7,Loan originated
1,515000.0,49,645000.0,140.0,1,Black or African American,Male,45-54,100.0,Loan originated
1,715000.0,48,795000.0,317.0,1,White,Joint,25-34,90.92,Loan originated
1,525000.0,41,665000.0,163.0,1,White,Joint,>74,80.0,Loan originated
1,235000.0,48,285000.0,51.0,1,Asian,Male,25-34,80.0,Loan originated
1,425000.0,48,655000.0,88.0,1,Asian,Female,35-44,65.0,Loan originated
1,1145000.0,<20%,1635000.0,700.0,1,White,Joint,25-34,70.0,Loan originated
1,255000.0,48,985000.0,80.0,1,White,Female,65-74,25.43,Loan originated
1,575000.0,42,1305000.0,349.0,1,White,Male,35-44,44.23,Loan originated
1,965000.0,20%-<30%,1075000.0,393.0,1,Hispanic or Latino,Male,45-54,90.0,Loan originated
1,165000.0,30%-<36%,485000.0,84.0,1,White,Male,25-34,33.33,Loan originated
1,535000.0,30%-<36%,1135000.0,184.0,1,White,Female,45-54,46.9,Loan originated
1,245000.0,40,305000.0,62.0,1,Asian,Male,25-34,80.0,Loan originated
1,595000.0,20%-<30%,735000.0,364.0,1,White,Joint,65-74,80.0,Loan originated
1,225000.0,37,505000.0,70.0,1,White,Female,55-64,70.16,Loan originated
1,355000.0,49,855000.0,82.0,1,White,Female,55-64,41.52,Loan originated
1,775000.0,30%-<36%,1195000.0,249.0,1,White,Joint,25-34,64.49,Loan originated
1,465000.0,20%-<30%,575000.0,217.0,1,Asian,Joint,25-34,80.0,Loan originated
1,715000.0,45,895000.0,163.0,1,Black or African American,Joint,25-34,80.0,Loan originated
1,585000.0,48,725000.0,149.0,1,Asian,Female,45-54,100.0,Loan originated
1,755000.0,49,975000.0,147.0,1,Hispanic or Latino,Male,45-54,77.84,Loan originated
1,205000.0,48,275000.0,41.0,1,Other,Female,25-34,75.0,Loan originated
1,465000.0,42,515000.0,136.0,1,Asian,Female,55-64,90.0,Loan originated
1,745000.0,39,825000.0,220.0,1,Asian,Joint,25-34,90.0,Loan originated
1,615000.0,39,685000.0,213.0,1,Asian,Joint,25-34,90.0,Loan originated
1,465000.0,37,585000.0,170.0,1,Asian,Joint,35-44,80.0,Loan originated
1,445000.0,42,475000.0,109.0,1,Asian,Female,45-54,92.5,Loan originated
1,665000.0,38,825000.0,164.0,1,White,Joint,65-74,80.0,Loan originated
