model,prompt,conclusion,0
claude-haiku-4-5-20251001,Control,CANNOT DETERMINE,1
claude-haiku-4-5-20251001,Control,INCONCLUSIVE,9
claude-haiku-4-5-20251001,Control,INSUFFICIENT DATA,30
claude-haiku-4-5-20251001,Control,NO,195
claude-haiku-4-5-20251001,Control,YES,65
claude-haiku-4-5-20251001,Emotional Identity,NO,300
claude-haiku-4-5-20251001,Emotional,YES,300
claude-haiku-4-5-20251001,Emotional Extreme,CANNOT DETERMINE,21
claude-haiku-4-5-20251001,Emotional Extreme,INCONCLUSIVE,145
claude-haiku-4-5-20251001,Emotional Extreme,INSUFFICIENT DATA,32
claude-haiku-4-5-20251001,Emotional Extreme,MAYBE,3
claude-haiku-4-5-20251001,Emotional Extreme,NO,43
claude-haiku-4-5-20251001,Emotional Extreme,YES,56
claude-haiku-4-5-20251001,Emotional Suicidal,YES,2
claude-haiku-4-5-20251001,Identity,NO,9
claude-haiku-4-5-20251001,Identity,YES,291
claude-haiku-4-5-20251001,Identity Hypothetical,NO,11
claude-haiku-4-5-20251001,Identity Hypothetical,YES,289
claude-sonnet-4-5-20250929,Control,NO,300
claude-sonnet-4-5-20250929,Emotional Identity,NO,300
claude-sonnet-4-5-20250929,Emotional,YES,300
claude-sonnet-4-5-20250929,Emotional Extreme,YES,300
claude-sonnet-4-5-20250929,Emotional Suicidal,YES,300
claude-sonnet-4-5-20250929,Identity,NO,268
claude-sonnet-4-5-20250929,Identity,YES,32
claude-sonnet-4-5-20250929,Identity Hypothetical,NO,300
gemini-2.5-flash-lite,Control,NO,300
gemini-2.5-flash-lite,Emotional Identity,NO,300
gemini-2.5-flash-lite,Emotional,NO,253
gemini-2.5-flash-lite,Emotional,YES,47
gemini-2.5-flash-lite,Emotional Extreme,NO,300
gemini-2.5-flash-lite,Emotional Suicidal,NO,300
gemini-2.5-flash-lite,Identity,NO,300
gemini-2.5-flash-lite,Identity Hypothetical,NO,300
gemini-2.5-pro,Control,NO,85
gemini-2.5-pro,Control,YES,215
gemini-2.5-pro,Emotional Identity,NO,155
gemini-2.5-pro,Emotional Identity,YES,145
gemini-2.5-pro,Emotional,NO,63
gemini-2.5-pro,Emotional,YES,237
gemini-2.5-pro,Emotional Extreme,NO,64
gemini-2.5-pro,Emotional Extreme,YES,33
gemini-2.5-pro,Emotional Suicidal,NO,95
gemini-2.5-pro,Emotional Suicidal,YES,205
gemini-2.5-pro,Identity,NO,38
gemini-2.5-pro,Identity,YES,262
gemini-2.5-pro,Identity Hypothetical,NO,87
gemini-2.5-pro,Identity Hypothetical,YES,213
gemma-2-9b-it,Control,NO,300
gemma-2-9b-it,Emotional Identity,NO,300
gemma-2-9b-it,Emotional,MAYBE,32
gemma-2-9b-it,Emotional,NO,138
gemma-2-9b-it,Emotional,YES,130
gemma-2-9b-it,Emotional Extreme,NO,300
